PMC2267737	D00004	158	168	creatinine
PMC2267737	D00004	173	180	glucose
PMC2267737	D00030	33	46	triglycerides
PMC2267737	D00030	58	69	cholesterol
PMC2267737	D00031	72	85	triglycerides
PMC2267737	D00032	6	16	creatinine
PMC2267737	D00032	21	25	urea
PMC2267737	D00035	149	159	creatinine
PMC2267737	D00035	164	168	urea
PMC2267737	D00035	254	261	glucose
PMC2267737	D00035	330	337	lactate
PMC2267737	D00035	342	349	acetate
PMC2267737	D00036	116	126	creatinine
PMC2267737	D00036	131	135	urea
PMC2267737	D00040	126	138	triglyceride
PMC2267737	D00041	34	47	triglycerides
PMC2267737	D00049	13	25	triglyceride
PMC2267737	D00049	139	152	triglycerides
PMC2267737	D00053	27	38	cholesterol
PMC2267737	D00055	44	55	cholesterol
PMC2267737	D00055	66	79	triglycerides
PMC2267737	M02005	177	184	glucose
PMC2267737	M02023	56	60	urea
PMC2267737	M02023	84	91	acetate
PMC2267737	R00001	158	171	triglycerides
PMC2267737	R00001	173	184	cholesterol
PMC2267737	R00001	199	212	phospholipids
PMC2267737	R00002	249	259	creatinine
PMC2267737	R00002	261	268	lactate
PMC2267737	R00002	273	280	glucose
PMC2267737	R00014	45	52	glucose
PMC2267737	R00016	13	20	lactate
PMC2267737	R01018	13	23	creatinine
PMC2267737	R04003	0	12	Triglyceride
PMC2267737	R04004	12	23	cholesterol
PMC2267737	R04004	52	65	triglycerides
PMC2267737	R04005	68	81	triglycerides
PMC2267737	R04006	6	17	cholesterol
PMC2267737	R04010	41	53	triglyceride
PMC2267737	R04010	73	84	cholesterol
PMC2267737	R04011	6	17	cholesterol
PMC2267737	R04011	32	42	creatinine
PMC2267737	R04013	28	32	urea
PMC2267737	R04015	4	11	Lactate
PMC2267737	R04016	4	11	acetate
PMC2267737	R04017	8	15	glucose
PMC2267737	R04018	0	10	Creatinine
PMC2267737	R04018	48	52	urea
PMC2267737	R04019	13	20	lactate
PMC2267737	R04019	49	56	acetate
PMC2267737	R04021	18	25	glucose
PMC2267737	R04021	150	159	α-glucose
PMC2267737	R04021	230	237	glucose
PMC2267737	R04022	74	81	glucose
PMC2267737	R05002	142	155	triglycerides
PMC2267737	R05002	182	193	cholesterol
PMC2267737	R05004	73	86	triglycerides
PMC2267737	R05004	91	102	cholesterol
PMC2267737	R05008	36	47	cholesterol
PMC2267737	R05009	0	10	Creatinine
PMC2267737	R05009	155	165	creatinine
PMC2267737	R05012	77	84	lactate
PMC2267737	R05012	86	93	acetate
PMC2267737	R05012	98	105	glucose
PMC2267737	R06002	50	63	triglycerides
PMC2267737	R06002	90	101	cholesterol
PMC2267737	R06002	137	147	creatinine
PMC2267737	R06014	25	36	cholesterol
PMC2267737	R06014	138	149	cholesterol
PMC2267737	R06016	103	114	cholesterol
PMC2267737	R06018	0	13	Triglycerides
PMC2267737	R06018	125	138	triglycerides
PMC2538910	A00000	0	7	Glucose
PMC2538910	A00002	105	112	glucose
PMC2538910	A00003	119	123	urea
PMC2538910	A00003	149	155	purine
PMC2538910	A00003	218	225	glucose
PMC2538910	A00006	48	56	glycerol
PMC2538910	A00006	61	68	leucine
PMC2538910	A00006	69	79	isoleucine
PMC2538910	A01000	0	7	glucose
PMC2538910	D00000	138	145	glucose
PMC2538910	D00004	113	120	glucose
PMC2538910	D00009	46	53	glucose
PMC2538910	D00010	55	62	glucose
PMC2538910	D00012	73	80	glucose
PMC2538910	D00012	154	161	glucose
PMC2538910	D00013	75	82	glucose
PMC2538910	D00014	74	81	glucose
PMC2538910	D00015	98	105	glucose
PMC2538910	D00023	217	224	glucose
PMC2538910	D00024	59	67	glycerol
PMC2538910	D00026	27	34	glucose
PMC2538910	M00001	45	52	glucose
PMC2538910	M00002	79	86	glucose
PMC2538910	M00002	135	142	glucose
PMC2538910	M00002	158	165	glucose
PMC2538910	M00004	62	69	glucose
PMC2538910	M00004	96	103	glucose
PMC2538910	M00005	56	63	glucose
PMC2538910	M00005	79	86	glucose
PMC2538910	M01001	45	52	glucose
PMC2538910	M01002	79	86	glucose
PMC2538910	M01002	135	142	glucose
PMC2538910	M01002	158	165	glucose
PMC2538910	M02001	62	69	glucose
PMC2538910	M02001	96	103	glucose
PMC2538910	M02002	56	63	glucose
PMC2538910	M02002	79	86	glucose
PMC2538910	M03002	30	37	glucose
